id;post;created
1079;Chargé de Qualité Client et Réclamation (CQCR) Argus de la Presse;31/08/2017 13:42
1080;Consultant auprès du projet Appui au Développement du Menabe et du Melaky à Morondava (AD2M);31/08/2017 13:42
1081;Assistante de projet d'enquête;31/08/2017 13:52
1082;Assistante en transit-Export;01/09/2017 09:56
1083;Résponsable d'agence;01/09/2017 09:56
1084;Assistant logistique et achat;02/09/2017 07:57
1085;téléprospecteur;02/09/2017 18:57
1086;shift nuit service facture et billet-age ;02/09/2017 18:57
1087;CHEF ;02/09/2017 18:57
1088;superviseur clienteles ;02/09/2017 18:57
1089;assistant comptable et caissier;04/09/2017 08:01
1090;ADMINISTRATEUR RESEAU et SYSTEME;05/09/2017 09:47
1091;Coach Niv I, Gestion de personnel;05/09/2017 11:48
1092;technicien de maintenance reseaux filaire;06/09/2017 03:04
1093;Téléopérateur de vente;06/09/2017 09:00
1094;Assistant Déclarant Transit;06/09/2017 09:00
1095;Responsable approvisionnement;06/09/2017 11:30
1096;Stagiaire , département des ressources humaines et commercial;06/09/2017 11:54
1097;Stagiaire dans le service de Secrétariat de l'Agence;06/09/2017 11:54
1098;Superviseur Online BPO;06/09/2017 14:09
1099;Contrôleur qualité Online BPO;06/09/2017 14:09
1100;Chargé de classement prestataire (Panorama) chez VIVETIC pour la société ARGUS DE LA PRESSE à Paris;06/09/2017 14:09
1101;Pigiste ou rédactrice web;06/09/2017 14:09
1102;Agent enquêteur;06/09/2017 14:09
1103;Controleuse de Qualite;06/09/2017 14:11
1104;vendeur et magasinier;06/09/2017 15:04
1105;Stagiaire RH;07/09/2017 08:34
1106;Assistant Technicien Intérimaire;07/09/2017 09:20
1107;Rédacteur/Modérateur;07/09/2017 09:20
1108;Socio-Organisateur stagiaire ;07/09/2017 09:20
1109;Stagiaire en Ressources Humaines;07/09/2017 09:20
1110;Stagiaire maintenance et support Informatique;07/09/2017 09:35
1111;Stagiaire Aide Comptable;07/09/2017 10:22
1112;Agent de recouvrement;07/09/2017 13:37
1113;Caissier Principal;07/09/2017 13:37
1114;Commercial livreur;07/09/2017 13:37
1115;Stagiaire au département de la Ressource Humaine;07/09/2017 13:37
1116;Professeur / Survéillant Général;07/09/2017 14:03
1117;référenceur web;07/09/2017 14:30
1118;Développeur web stagiaire;07/09/2017 14:32
1119;Responsable Cybercafé;07/09/2017 14:52
1120;responsable communication externe;08/09/2017 13:29
1121;monteur et cadreur;08/09/2017 13:29
1122;Operation supervisor;08/09/2017 13:38
1123;responsable d'accueil et secretaire;09/09/2017 05:02
1124;"o	Directrice Adjointe du Centre de Congrès (Centre Mariapoli)";09/09/2017 16:03
1125;"o	Monitrice de Jeunes auprès du Mouvement des Focolari";09/09/2017 16:03
1126;"o	Monitrice de jeunes";09/09/2017 16:03
1127;Lingerie;09/09/2017 16:03
1128;douanier;10/09/2017 09:33
1129;ASSISTANTE ADMINISTRATIVE ET RH;11/09/2017 07:10
1130;relation client et suivi import;11/09/2017 13:41
1131;Stagiaire en Assistante de direction;11/09/2017 15:15
1132;Stagiaire Ingénieur agronome;11/09/2017 15:15
1133;Stagiaire en Technicien Supérieur;11/09/2017 15:21
1134;Stage en Technicien Agricole;11/09/2017 15:21
1135;Stagiaire en Ouvrier;11/09/2017 15:24
1136;Stagiaire Assistante de direction;11/09/2017 15:25
1137;Stagiaire Technicien Supérieur;11/09/2017 15:25
1138;Stagiaire Technicien Agricole;11/09/2017 15:25
1139;Stagiaire Ouvrier;11/09/2017 15:25
1140;stagaire en technicien de maintenance reseaux filaire;12/09/2017 11:36
1141;Assistant logistique;12/09/2017 14:52
1142;Directrice Adjointe du Centre de Congrès - Centre Mariapoli ( mi-temps);12/09/2017 15:20
1143;Monitrice de Jeunes auprès du Mouvement des Focolari (mi-temps);12/09/2017 15:20
1144;Monitrice de jeunes;12/09/2017 15:20
1145; Rédacteur&Referenceur Web confirmé / community manager;13/09/2017 06:21
1146;Imprimeur et rédacteur;13/09/2017 06:24
1147;Responsable, Superviseur, Technicien Solaire;13/09/2017 11:48
1148;Mécanicien stagiaire;13/09/2017 14:54
1149;Technicien stagiaire;13/09/2017 14:54
1150;Commercial Freelance à domicile;13/09/2017 14:59
1151;Contrôle qualité - département échantillon;13/09/2017 15:12
1152;Opératrice de saisie ( sondage et échantillonnage);13/09/2017 15:12
1153;Animatrice de distribution;13/09/2017 15:31
1154;Commerciale free lance;14/09/2017 07:34
1155;Stagiaire en Back Office;14/09/2017 07:46
1156;Guichetière;14/09/2017 09:07
1157;CUSTOMER SERVICE QUALITY ANALYST ET FORMATEUR;14/09/2017 11:52
1158;CUSTOMER SERVICE QUALITY ANALYST;14/09/2017 11:52
1159;INTERIM QUALITY ANALYST;14/09/2017 11:52
1160;AGENT AU CENTRE D'APPEL;14/09/2017 11:52
1161;INTERIM TEAM LEADER;14/09/2017 11:52
1162;technicien supérieure;14/09/2017 13:53
1163;Stagiaire au niveau du Responsable Budget et Prévoyance RH;14/09/2017 15:25
1164;Stagiaire au niveau du Responsable personnel;14/09/2017 15:25
1165;Stagiaire au niveau du Responsable paye;14/09/2017 15:25
1166;responsable Import-export;14/09/2017 15:39
1167;Stagiaire département Commercial;14/09/2017 15:39
1168;Travaille en trinome;14/09/2017 16:16
1169;Stagiaire en Administrateur Reseau Informatique;15/09/2017 14:32
1170;responsable d approvisionnement et Transit;16/09/2017 16:34
1171;Qualificateur de fiche d'entreprise;18/09/2017 07:01
1172;Team Leader;18/09/2017 12:56
1173;BACK OFFICE AIRTEL MADAGASCAR;18/09/2017 12:56
1174;ANALYST COLLECTION ;18/09/2017 12:56
1175;OUTBOUND RETENTION ;18/09/2017 12:56
1176;INBOUND;18/09/2017 12:56
1177;ingénieur réseaux stagiaire;18/09/2017 23:06
1178;Trainee;19/09/2017 07:00
1179;Opérateur OnLine Chez Mad’Com Vivetic;19/09/2017 11:37
1180;Chef de chantier sur le projet de FID (Fonds d’Intervention pour le Développement) à   Ambatolampy;19/09/2017 11:37
1181;Assistante relation client et suivi Import;19/09/2017 13:18
1182;Formatrice;19/09/2017 13:18
1183;Conseillère commerciale;19/09/2017 13:18
1184;Educateur;19/09/2017 13:18
1185;Organisatrice et coorganisatrice évènementiel;19/09/2017 13:18
1186;Stagiaire dans le service approvisionnement ;19/09/2017 14:49
1187;Télémarketing;20/09/2017 06:32
1188;chef cuisinier;20/09/2017 09:06
1189;ResponsableEnergie renouvelable et maintenance;20/09/2017 11:47
1190;Superviseur technique d'intervention sur l'installation d'une centrale solaire;20/09/2017 11:47
1191;Secretaire de rédaction;20/09/2017 11:55
1192;Content Manager;20/09/2017 11:55
1193;Contrôle qualité;20/09/2017 12:08
1194;Pigiste;20/09/2017 12:08
1195;Accompagnateur francophone;20/09/2017 12:10
1196;Responsable technique et électricien solaire;20/09/2017 12:13
1197;Technicien solaire;20/09/2017 12:13
1198;IT Manager;20/09/2017 13:00
1199;"•	Prestataire de service,";20/09/2017 13:00
1200;coiffeuse ;20/09/2017 14:07
1201;Administrateur de parc informatique;20/09/2017 14:48
1202;Développeur javascript;20/09/2017 14:48
1203;Responsable Commerciale & Marketing ;21/09/2017 08:33
1204;Animateur de stand;21/09/2017 08:46
1205;SECRETAIRE COMPTABLE ET LOGISTICIEN;21/09/2017 08:53
1206;SECRETAIRE COMPTABLE ET OPERATEUR DE SAISIE;21/09/2017 08:53
1207;Informaticien assistant;21/09/2017 08:53
1208;Responsable de site ;21/09/2017 08:53
1209;Contrôleur qualité ;21/09/2017 08:53
1210;Stagiaire Technicien en Maintenance Informatique;21/09/2017 09:40
1211;Technicien en Maintenance Informatique;21/09/2017 09:40
1212;Operateur On-line;21/09/2017 09:40
1213;Chargé de Clientèle CDD;21/09/2017 10:11
1214;Superviseur Back office CDD;21/09/2017 10:11
1215;Agent back office CDD;21/09/2017 10:11
1216;Opérateur de saisie CDD;21/09/2017 10:11
1217;animateur TELMA M 'SOMA;21/09/2017 11:09
1218;Consultante RH ;21/09/2017 15:26
1219;Consultant RH ;22/09/2017 13:34
1220;Contrôleur de Gestion Sociale ;22/09/2017 13:34
1221;HR Manager – Rewards / HR Operations & Analytics TL / Payroll & Software Assistant /;22/09/2017 13:34
1222;Assistant Comptable ;22/09/2017 13:34
1223;"RESPONSABLE STOCK-COMMERCIAL-ADMINISTRATION ; Agent Ticketing ; Serétaire de Direction";22/09/2017 15:31
1224;Télé-assistante administrative;23/09/2017 10:41
1225;;23/09/2017 15:52
1226;Support technique;23/09/2017 18:37
1227;DIRECTEUR COMMERCIAL et MARKETING;25/09/2017 06:56
1228;aide mecanique et chauffeur;25/09/2017 08:32
1229;Charge Clientèle et Comptabilité;25/09/2017 10:26
1230;ASSUSTANTE DE DIRECTION / RESPONSABLE DEPARTEMENT / RESPONSABLE ADMINISTRATIF ET FINANCIER/COMMERCIALISATION;25/09/2017 13:03
1231;Médiateur média;25/09/2017 13:13
1232;Conseillère;25/09/2017 13:13
1233;Productrice, animatrice et coordinatrice de programme;25/09/2017 13:13
1234;Réalisateur émission télévisé;25/09/2017 13:25
1235;Saisie comptable;25/09/2017 23:06
1236;Pair Educateur;26/09/2017 09:02
1237;Stagiaire en Développeur;26/09/2017 13:44
1238;Stagiaire en Développeur web;26/09/2017 13:44
1239;paire educateur;26/09/2017 19:47
1240;Modérateur en langue française ;27/09/2017 07:11
1241;enseignant de Mathématiques ;27/09/2017 07:11
1242;Contrôleur Financier ;27/09/2017 07:11
1243;Coordinateur en RESSOURCES HUMAINES;27/09/2017 07:39
1244;opérateur de saisie au sénat de Madagascar;27/09/2017 07:49
1245;Developpeur web et Mobile;27/09/2017 08:12
1246;Technicien agricole;27/09/2017 10:07
1247;Restaurateur, Archiviste et responsable triage;27/09/2017 10:12
1248;Réparateur et Maintenance d'ordinateur en free lance;27/09/2017 10:48
1249;Stagiaire en mécanique;27/09/2017 11:00
1250;Suprviseur et Animateur;27/09/2017 11:32
1251;chef de partie;27/09/2017 13:31
1252;Cuisinier en cantine;27/09/2017 13:34
1253;CHARGE GRAND COMPTE;27/09/2017 14:36
1254;Traiteur;27/09/2017 14:50
1255;Sous-chef cuisinier;27/09/2017 14:50
1256;Cuisinier et Responsable de stockage;27/09/2017 14:58
1257;Responsable achat accessoires;27/09/2017 15:04
1258;Infographiste Metteur en page;27/09/2017 15:09
1259;PAOiste;27/09/2017 15:09
1260;Responsable Administratif et du Suivi du programme BABEO;28/09/2017 10:08
1261;Assistante du Responsable des Passations de Marchés;28/09/2017 10:08
1262;Assistante d'études;28/09/2017 10:08
1263;Stagiaire mécanicien;28/09/2017 11:04
1264;Coursier et Aide-magasinier;29/09/2017 14:50
1265;Animatrice communale et secretaire;02/10/2017 11:06
1266;ASSISTANTE DE DIRECTION / RESPONSABLE DEPARTEMENT / RESPONSABLE ADMINISTRATIF ET FINANCIER/COMMERCIALISATION;03/10/2017 14:32
1267;Serétaire de Direction;04/10/2017 10:12
1268;Agent ticketing;04/10/2017 12:02
1269;Chef de service G.P.A.O;04/10/2017 12:02
1270;Interim ;04/10/2017 12:02
1271;"Assistante de direction/ Responsable département Accompagnement de projet et aménagement et Design ""ACP-AMD""";04/10/2017 15:26
1272;Assistante de direction Technique et secrétaire de bureau d'études;04/10/2017 15:26
1273;Assistante de direction/ Responsable département Accompagnement de projet et aménagement et Design ;04/10/2017 15:34
1274;Consultante pour la conception et élaboration d'un centre d'information;05/10/2017 09:14
1275;Animatrice et Educatrice de jeune;05/10/2017 09:14
1276;POLYVALENT;06/10/2017 07:29
1277;Inforgaphiste consultant;06/10/2017 08:50
1278;Infographiste prestatiare;06/10/2017 08:50
1279;Stagiaire développeur PHP;06/10/2017 09:27
1280;Animatrice de ventes périodique;09/10/2017 09:23
1281;Stagiaire en gestionnaire de stock;09/10/2017 09:49
1282;Animateur de vente;09/10/2017 09:49
1283;Stagiaire en Assistant comptable;09/10/2017 09:49
1284;Assistsante et serveuse évènementielle;09/10/2017 10:49
1285;Assistante Comptable Stagiaire;09/10/2017 13:37
1286;;09/10/2017 15:33
1287;KYC;10/10/2017 07:55
1288;Garment Technologist;10/10/2017 08:54
1289;Opérateur de saisie et Agent polyvalent;10/10/2017 09:25
1290;Opérateur de saisie comptable;10/10/2017 09:56
1291;Responsable vente;10/10/2017 09:56
1292;Aide magasinier et aide gestionnaire de stock;10/10/2017 13:55
1293;Animatrice shop;11/10/2017 09:57
1294;Chargée d’Administration des ventes opérateurs;11/10/2017 13:05
1295;Téléopératrice freelance;11/10/2017 13:08
1296;Gestionnaire Clientèle;11/10/2017 13:44
1297;Conseillère clientèle;11/10/2017 13:44
1298;Téchnicien télécommunication et réseau;12/10/2017 10:06
1299;Chef Secteur;12/10/2017 14:42
1300;Assistante   administrative;12/10/2017 14:46
1301;Support du service clientèle ;12/10/2017 14:50
1302;Administrateur de la carte P+ ;12/10/2017 14:52
1303;Stagiaire en Administration Réseau et Maintenance;13/10/2017 12:11
1304;Agent de traitement et de saisie de base de données;13/10/2017 12:11
1305;Intégrateur web et rédactrice;13/10/2017 13:39
1306;Rédactrice publicitaire;13/10/2017 13:39
1307;gestionnaire de stock, operateur media, commercial sedentaire, televendeur;15/10/2017 08:54
1308;guide accompagnateur locale et organisateur touristique;16/10/2017 08:47
1309;Stage en vue de l'obtention du diplôme Ingéniorat en Informatique ;16/10/2017 09:21
1310;Directrice gérante;16/10/2017 14:56
1311;Directrice commerciale;16/10/2017 14:56
1312;Chef de zone et chef d'agence;16/10/2017 14:56
1313;Stagiaire dans le département administration;17/10/2017 06:33
1314;Agent logistique;17/10/2017 07:01
1315;Téléconseillière;17/10/2017 11:05
1316;droit;17/10/2017 14:23
1317;Ingénieur d'étude;18/10/2017 06:29
1318;Ingénieur d'études;18/10/2017 06:29
1319;magasinier/ caissier;18/10/2017 08:41
1320;logisticien ;18/10/2017 08:53
1321;Technicien Administratif;18/10/2017 11:09
1322;;18/10/2017 11:19
1323;infirmier urgentiste;18/10/2017 11:27
1324;Testeur;18/10/2017 14:24
1325;Professeur de Mathématiques et de Physique;18/10/2017 15:03
1326;Stagiaire en technicien informatique;18/10/2017 15:24
1327;Stagiaire en maintenance industrielle;18/10/2017 15:24
1328;marketing;19/10/2017 07:41
1329;recéptioniste;19/10/2017 07:41
1330;infirmière urgentiste;19/10/2017 09:09
1331;Responsable Sécurité du Système d'Informations;19/10/2017 09:13
1332;Stagiaire en Technicien de maintenance informatique;19/10/2017 14:15
1333;Technicien Roll Out;19/10/2017 14:34
1334;Conducteur machine;19/10/2017 15:02
1335;Télévendeur;20/10/2017 07:26
1336;Consultant commercial sédentaire francophone;20/10/2017 07:26
1337;Télé-agent;20/10/2017 07:26
1338;Assistant Inventaire;20/10/2017 07:26
1339;Chargé clientèle;20/10/2017 15:35
1340;Détaillante marchandise générale;20/10/2017 15:35
1341;Stagiaire en finance et comptabilité;20/10/2017 15:35
1342;Maintenancier Vehicule;20/10/2017 16:39
1343;Conseiller Client et technicien SAV;20/10/2017 17:17
1344;Téléopératrice commerciale;21/10/2017 15:32
1345;Commerciale produit Gillette et Ariel;21/10/2017 15:32
1346;Stagiaire et Assistante administrative;23/10/2017 08:04
1347;Consultante Audit;23/10/2017 09:31
1348;Opérateur centre de contrôle;23/10/2017 09:48
1349;Responsable RH;23/10/2017 12:47
1350;Stage au sein de la Direction commerciale service Corporate ;23/10/2017 14:16
1351;Organisateur évenementiel;23/10/2017 14:22
1352;Agent d'acceuil;23/10/2017 14:22
1353;Dépanneur PC et maintenance informatique;23/10/2017 14:22
1354;Assiçstante Controle Qualité;24/10/2017 08:20
1355;Responsable Chargé de Clientèle;24/10/2017 11:26
1356;Télé-enquêteur;24/10/2017 13:24
1357;Stagiaire  chargé d'étude;24/10/2017 13:30
1358;Stagiaire en chargé d'étude;24/10/2017 13:34
1359;Stagiaire en Maintenancier Vehicule;24/10/2017 14:10
1360;RESPONSABLE REPORTING;25/10/2017 08:24
1361;SUPERVISEUR - CHEF DE PROJET ;25/10/2017 08:42
1362;CLECK;25/10/2017 08:42
1363;Assistante Import / Export, commercial;25/10/2017 09:27
1364;gérant cyber café;25/10/2017 10:21
1365;Aide patissière;25/10/2017 11:44
1366;VENDEUSE - MAGASINIERE;25/10/2017 11:44
1367;VENDEUSE-CAISSIERE A LA PATISSERIE;25/10/2017 11:44
1368;Enseignante de la langue française;25/10/2017 12:44
1369;Enseignante stagiaire;25/10/2017 12:44
1370;Opérateur de saisie stagiaire;25/10/2017 13:52
1371;Stagiaire en tant que Assistante de transit et commerciale;26/10/2017 09:55
1372;Superviseur / Team Leader;26/10/2017 10:07
1373;Agent call;26/10/2017 10:11
1374;Responsable infrastructure IT;26/10/2017 11:45
1375;Informaticien freelance;26/10/2017 11:55
1376;Chef de pub;26/10/2017 12:05
1377;Animateur de vente - HOTES;26/10/2017 14:19
1378;CLECK - QUANTITY MANAGER OFFICER;26/10/2017 14:19
1379;SUPERVIEUR;26/10/2017 14:19
1380;RESPONSABLE REPORTING - CHEF DE VENTE SENIOR - CHEF DE PROJET;26/10/2017 14:19
1381;Directeur PRA et Responsable importations diverses ;27/10/2017 06:22
1382;Directeur PRA et Responsable importations diverses ;27/10/2017 06:25
1383;CAISSIERE ET SERVICE CLIENT;27/10/2017 06:38
1384;RESPONSABLE SECURITE ;27/10/2017 09:19
1385;SENIOR SUPERVISEUR;27/10/2017 09:19
1386;SENIOR GUARD;27/10/2017 09:19
1387;greffier et informaticien;27/10/2017 12:55
1388;Stagiaire , département de direction des opérations;27/10/2017 15:04
1389;Stagiaire, département Administratif et Financier ;27/10/2017 15:04
1390;Informaticien Stagiaire;27/10/2017 15:33
1391;Modérateur de message;27/10/2017 15:33
1392;Responsable de communication et relation éxtérieur;27/10/2017 15:44
1393;Conducteur de travaux de Pylône;27/10/2017 15:44
1394;Agent  Commercial;27/10/2017 15:44
1395;Cogérant;27/10/2017 15:44
1396;formation d'un assistant social et de developpement local dans le domaine psychologique;27/10/2017 15:44
1397;COURSIER;27/10/2017 17:03
1398;Assistant Commercial;27/10/2017 17:03
1399;;28/10/2017 09:06
1400;Stagiaire : Développeur et Technicien informatique;28/10/2017 15:01
1401;Stagiaire: Développeur;28/10/2017 15:01
1402;Développeur Web et Technicien informatique;28/10/2017 15:01
1403;Stagiaire : Développeur;28/10/2017 15:01
1404;Chargée d'approvisionnement;28/10/2017 20:52
1405;DIRECTEUR MARKETING & COMMERCIAL;30/10/2017 09:13
1406;professeur de Français;30/10/2017 11:05
1407;Responsable Accueil;30/10/2017 14:49
1408;Agent de facturation, de réservation fret export et agent de comptoir fret export;30/10/2017 16:00
1409;Agent Comptable;30/10/2017 16:39
1410;Chef de publicité;31/10/2017 07:39
1411;Gérante du Magasin;31/10/2017 07:39
1412;Assistante logistique;31/10/2017 08:57
1413;ASSISTANT TRANSIT;31/10/2017 10:30
1414;AGENT  DE SÛRETÉ AEROPORT;31/10/2017 10:30
1415;Commercial marketeur;31/10/2017 11:05
1416;professeur d'informatique;31/10/2017 11:05
1417;missionnaire benevole;31/10/2017 11:05
1418;chef de service d'exploitation et de développement;31/10/2017 11:15
1419;Gestionnaire de comptes;31/10/2017 11:15
1420;RESPONSABLE QUALITE;31/10/2017 11:46
1421;Responsable Administration et Financier;31/10/2017 14:53
1422;Responsable d'exportation;31/10/2017 15:23
1423;Résponsable de la communication;01/11/2017 11:46
1424;CHEF SECTEUR PAYSANNAT;01/11/2017 17:37
1425;Responsable secteur;01/11/2017 17:40
1426;commercial grossiste et gms;01/11/2017 17:40
1427;Responsable marketing;01/11/2017 17:40
1428;Responsable clientèle;01/11/2017 19:20
1429;Assistante Export;01/11/2017 19:20
1430;CONSEILLER CLIENTELE;02/11/2017 10:06
1431;Chargé de renseignement Base Client;02/11/2017 12:24
1432;Magasinier Temporaire;02/11/2017 12:24
1433;Opérateur standard;02/11/2017 15:59
1434;OTD - Opérateur de saisie;02/11/2017 15:59
1435;Stagiaire Informaticien polyvalent;02/11/2017 16:26
1436;Chargé de recrutement et de compétences;02/11/2017 16:35
1437;comptable - gestionnaire de stock - commercial;03/11/2017 09:34
1438;Enseignante, matière Histoire et Géographie en classe secondaire ;03/11/2017 10:30
1439;Stagiaire enquêtrice;03/11/2017 10:30
1440;Responsable du système informatique;03/11/2017 11:07
1441;Chef de projet VFP6;03/11/2017 12:02
1442;dépanneur informatique et éléctronique à domicile;03/11/2017 12:17
1443;Stagiaire contrôleur;03/11/2017 13:51
1444;Stagiaire en Marketing;03/11/2017 13:51
1445;Stagiaire chargé de la clientèle;03/11/2017 13:51
1446;Stagiaire projet RH;03/11/2017 14:23
1447;responsable lavage et soudure;05/11/2017 22:11
1448;hôtesse d'accueil- standardiste , Intérim;06/11/2017 12:19
1449;Responsable de boutique de luxe;06/11/2017 12:19
1450;Assistante en Développement et mobilité;06/11/2017 12:44
1451;ouvrier de maintenance;06/11/2017 16:24
1452;Stagiaire responsable maintenance;06/11/2017 16:33
1453;Président;06/11/2017 16:33
1454;Stagiaire en sismographie;07/11/2017 09:10
1455;Stagiaire maintenancier;07/11/2017 09:20
1456;Stagiaire de maintenance;07/11/2017 09:20
1457;Ingénieur  électricien;07/11/2017 09:51
1458;Stagiaire enquêteur;07/11/2017 10:21
1459;Opérateur de saisie Freelance;07/11/2017 10:21
1460;Bénévole instructeur en Français;07/11/2017 10:21
1461;Mécanicien d'engin et camion;07/11/2017 11:05
1462;Technicien de maintenance industriel, Ingénieur de maintenance industriel;07/11/2017 16:23
1463;Vacataire;07/11/2017 16:23
1464;Agent, bureau de méthode;07/11/2017 16:23
1465;Exploitant commercial;08/11/2017 09:21
1466;hôte;08/11/2017 09:34
1467;Guide accompagnateur et organisateur touristique (périodique);08/11/2017 09:37
1468;Stagiaire sous la Direction des affaires administratives et financière;08/11/2017 09:37
1469;Finance Supervisor ;08/11/2017 10:56
1470;Opératrice de saisie comptable;08/11/2017 15:02
1471;Stagiaire responsable clientèle;08/11/2017 15:05
1472;Stagiaire assistante administrative;08/11/2017 15:05
1473;Stagiaire assistante Export;08/11/2017 15:05
1474;Agent de Promotion (Commerciale);09/11/2017 07:50
1475;Stagiaire auprès du services logistique rattaché au Secrétariat Général;09/11/2017 12:43
1476;Stagiaire auprès du Chargé Clientèle et Comptabilité;09/11/2017 12:43
1477;Vendeuse et interprète chinoise;09/11/2017 12:53
1478;Stagiaire en assistant juridique ;09/11/2017 13:04
1479;Stagiaire Communication et Information;09/11/2017 14:50
1480;Responsable réservation et réceptionniste;09/11/2017 20:27
1481;Formateur en Mission;10/11/2017 13:39
1482;Stagiaire au sein di département marketing;10/11/2017 13:39
1483;Stagiaire en création et domiciliation;10/11/2017 14:43
1484;Assistant administratif, comptable et transit;11/11/2017 10:46
1485;Gestionnaire de Portefeuille;13/11/2017 15:10
1486;Responsable   Logistique ;13/11/2017 16:38
1487;Socio Organisateur et Animateur en IEC périodique;13/11/2017 16:38
1488;Chargé d'affaires - Responsable Recrutement et mobilité - Gestionnaire de formation;13/11/2017 16:43
1489;Chargé RH;13/11/2017 16:43
1490;Commercial Au Comptoir;14/11/2017 09:34
1491;caissiere et Vendeuse;14/11/2017 09:34
1492;HOTESSE DE VENTE;14/11/2017 09:34
1493;Responsable de vente;14/11/2017 09:34
1494;CHAUFFEUR CONVOYEUR;14/11/2017 10:15
1495;Chargé de clientèle entreprise;14/11/2017 10:49
1496;remplacent;14/11/2017 15:49
1497;Stagiaire, Guide, Agent d'accueil, Agent de tourisme;14/11/2017 16:24
1498;Agent suivi sous-traitant;14/11/2017 16:30
1499;Agent d'installation;14/11/2017 16:38
1500;Chauffeur livreur Commissionnaire;14/11/2017 16:40
1501;Verbalisateur;14/11/2017 17:10
1502;Consultante Ponctuelle - Assistante comptable;15/11/2017 08:13
1503;superviseur de parc vehicule;15/11/2017 10:26
1504;Responsabble Service Informatique;15/11/2017 11:27
1505;Paire jeune Educateur;15/11/2017 12:18
1506;assistant RH;15/11/2017 16:11
1507;Responsable producton et chef d'usine;15/11/2017 16:23
1508;Stagiaire d'accueil;16/11/2017 07:52
1509;Coordinateur Technique;16/11/2017 16:27
1510;Conseiller Technique en Energie Renouvelable ;16/11/2017 16:27
1511;Responsable Exploitation -;16/11/2017 16:27
1512;Chief Strategy Officer;17/11/2017 08:35
1513;Responsable Administratif et Financier Intérimaire;17/11/2017 08:35
1514;Chargés des comptes clients et fournisseurs;17/11/2017 08:35
1515;Auditeur interne;17/11/2017 08:35
1516;assistant responsable Marketing stagiaire;17/11/2017 09:01
1517;Verbalisateur et chauffeur.;17/11/2017 12:08
1518;Stagiaire  responsable communication externe;17/11/2017 12:13
1519;Stagiaire monteur vidéo;17/11/2017 12:13
1520;stagiaire monteur et cadreur;17/11/2017 12:13
1521;suivre les dépenses carburants ;20/11/2017 08:44
1522;Comptable, Responsable administratif et Financier;20/11/2017 09:01
1523;Vendeuse Commerciale;20/11/2017 09:53
1524;Opérateur web polyvalent;20/11/2017 13:15
1525;sans emploi;21/11/2017 08:11
1526;commissionnaire et preparateur et acheteur des vanilles;21/11/2017 09:18
1527;Enseignante de la langue française et sécrétaire;21/11/2017 10:36
1528;Concepteur et réalisateur;21/11/2017 11:04
1529;Chauffeur taxi brousse zone national tana majunga et tana diego;22/11/2017 16:12
1530;Chaufeur taxi ville;22/11/2017 16:12
1531;vendeuse, commerciale , caissière;22/11/2017 16:22
1532;assistante commeciale;22/11/2017 16:27
1533;Assistante de direction et responsable personnel;22/11/2017 16:30
1534;Responsable park informatique et de la relation à la clientèle;22/11/2017 20:35
1535;Responsable de Plateau et des services informatique;22/11/2017 20:35
1536;Opérateur Télésurveillance;22/11/2017 20:35
1537;Metteur en pages XML;22/11/2017 20:35
1538;Prestataire service informatique;22/11/2017 20:35
1539;Socio-organisateur;23/11/2017 07:35
1540;Analyste au système d'information et d'exploitation;24/11/2017 06:26
1541;Agent de maintenance informatique;24/11/2017 06:36
1542;Technicien en maintenance industriel;24/11/2017 10:17
1543;Assistant admnistrative;24/11/2017 11:20
1544;Chauffeur animateur;24/11/2017 13:37
1545;vendeuse et commerciale;24/11/2017 14:08
1546;Directeur;24/11/2017 15:16
1547;Directeur du Système d'Information;24/11/2017 15:16
1548;Stagiaire en radio communication, Liaison VSAT;24/11/2017 15:53
1549;Consultante en tourisme;27/11/2017 11:33
1550;Secrétaire - Caissière;27/11/2017 16:19
1551;Télé-conseillère;27/11/2017 16:19
1552;;28/11/2017 09:12
1553;Consultante Senior en RH;28/11/2017 10:48
1554;Assitante de direction;28/11/2017 10:48
1555;Juriste intérimaire;28/11/2017 10:48
1556; assistant, inspecteur commercial, responsable logistique;28/11/2017 15:32
1557;Technico commercial;29/11/2017 07:51
1558;Télé conseiller;29/11/2017 07:51
1559;Déssinateur, Paoist, ;29/11/2017 08:00
1560;Comptable, Responsable administratif et Financier, logistique;29/11/2017 08:11
1561;Responsable de département;29/11/2017 10:40
1562;Responsable des Opérations;29/11/2017 10:40
1563;Coordinateur de projets;29/11/2017 10:40
1564;Chargée de mission bénévole pour mise en place et la gestion du réseau social numérique;29/11/2017 16:02
1565;Chargée de mission pour la mise en place du plan d'aménagement durable et équitable du site de la Mer d'émeraude;29/11/2017 16:02
1566;Conduite de projet sur les démarches d'acquisition de l'écolabel européenne et pour les adhérents de l'UNAT;29/11/2017 16:02
1567;Chargée de mission dans le cadre de l'élaboration de l'Atlasde la région DIANA;29/11/2017 16:02
1568;Responsable Cellule Projet;30/11/2017 08:08
1569;SAGE FEMME;30/11/2017 10:59
1570;Chargée de Formation et de Qualité;30/11/2017 11:03
1571;gouvernante/receptionniste;30/11/2017 13:07
1572;Responsale d'un cash point de credit;30/11/2017 14:08
1573;Adjoint Techniques d'Agriculture - Chef d'équipe;30/11/2017 17:01
1574;Chargé d'étude de crédit;01/12/2017 15:07
